disease,symptoms
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic patches"
Fungal infection,"skin rash, nodal skin eruptions, dischromic patches"
Fungal infection,"itching, nodal skin eruptions, dischromic patches"
Fungal infection,"itching, skin rash, dischromic patches"
Fungal infection,"itching, skin rash, nodal skin eruptions"
Allergy,"continuous sneezing, shivering, chills, watering from eyes"
Allergy,"shivering, chills, watering from eyes"
Allergy,"continuous sneezing, chills, watering from eyes"
Allergy,"continuous sneezing, shivering, watering from eyes"
Allergy,"continuous sneezing, shivering, chills"
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain"
GERD,"stomach pain, ulcers on tongue, vomiting, cough, chest pain"
GERD,"stomach pain, acidity, vomiting, cough, chest pain"
GERD,"stomach pain, acidity, ulcers on tongue, cough, chest pain"
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, chest pain"
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, cough"
GERD,"acidity, ulcers on tongue, vomiting, cough, chest pain"
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Chronic cholestasis,"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Chronic cholestasis,"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Chronic cholestasis,"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Chronic cholestasis,"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes"
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes"
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes"
Chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain"
Drug Reaction,"itching, skin rash, stomach pain, burning micturition, spotting urination"
Drug Reaction,"itching, stomach pain, burning micturition, spotting urination"
Drug Reaction,"itching, skin rash, burning micturition, spotting urination"
Drug Reaction,"itching, skin rash, stomach pain, spotting urination"
Drug Reaction,"itching, skin rash, stomach pain, burning micturition"
Drug Reaction,"skin rash, stomach pain, burning micturition, spotting urination"
Peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching"
Peptic ulcer diseae,"vomiting, indigestion, abdominal pain, passage of gases, internal itching"
Peptic ulcer diseae,"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching"
Peptic ulcer diseae,"vomiting, indigestion, loss of appetite, passage of gases, internal itching"
