drugname,avg_rating,avg_sentiment,total_reviews,avg_useful_count,top_condition
A / B Otic,10.0,100.0,1,18.0,Otitis Media
Abacavir / dolutegravir / lamivudine,9.0,90.0,18,13.944444444444445,HIV Infection
Abacavir / lamivudine,10.0,100.0,3,3.6666666666666665,HIV Infection
Abatacept,6.5,65.0,6,29.166666666666668,Rheumatoid Arthritis
Abilify,6.15,61.5,147,39.61224489795919,Depression
Abilify Discmelt,9.0,90.0,1,3.0,Depression
Abilify Maintena,10.0,100.0,1,22.0,Schizophrenia
Abiraterone,9.67,96.7,3,21.0,Prostate Cance
AbobotulinumtoxinA,10.0,100.0,1,10.0,acial Wrinkles
Abreva,6.45,64.5,47,8.085106382978724,Herpes Simplex
Absorica,6.5,65.0,2,6.5,Acne
Abstral,4.0,40.0,1,9.0,Breakthrough Pain
Acamprosate,8.76,87.6,34,61.911764705882355,Alcohol Dependence
Acanya,7.0,70.0,10,16.4,Acne
Acarbose,8.0,80.0,1,2.0,"Diabetes, Type 2"
Accolate,10.0,100.0,1,19.0,"Asthma, Maintenance"
Accutane,8.41,84.1,111,22.63063063063063,Acne
Acetaminophen,6.11,61.1,9,16.77777777777778,Pain
Acetaminophen / aspirin,9.0,90.0,1,6.0,Pain
Acetaminophen / aspirin / caffeine,7.42,74.2,26,9.26923076923077,Migraine
Acetaminophen / aspirin / caffeine / salicylamide,9.5,95.0,2,4.5,Pain
Acetaminophen / butalbital,9.75,97.5,4,13.5,Headache
Acetaminophen / butalbital / caffeine,8.45,84.5,49,21.93877551020408,Headache
Acetaminophen / butalbital / caffeine / codeine,9.6,96.0,5,32.4,Headache
Acetaminophen / caffeine,9.5,95.0,2,4.0,Headache
Acetaminophen / caffeine / dihydrocodeine,8.0,80.0,2,15.5,Pain
Acetaminophen / caffeine / isometheptene mucate,8.0,80.0,1,6.0,Headache
Acetaminophen / caffeine / magnesium salicylate,10.0,100.0,1,6.0,Muscle Pain
Acetaminophen / chlorpheniramine,9.0,90.0,1,14.0,Cold Symptoms
Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,2.0,20.0,1,5.0,Cold Symptoms
Acetaminophen / chlorpheniramine / phenylephrine,10.0,100.0,1,0.0,Cold Symptoms
Acetaminophen / codeine,5.32,53.2,28,20.0,Pain
Acetaminophen / dexbrompheniramine / pseudoephedrine,9.0,90.0,2,0.0,Allergic Rhinitis
Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,10.0,100.0,1,4.0,Cold Symptoms
Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,10.0,100.0,1,1.0,Cold Symptoms
Acetaminophen / dextromethorphan / pseudoephedrine,8.0,80.0,1,3.0,Cold Symptoms
Acetaminophen / dichloralphenazone / isometheptene mucate,8.44,84.4,16,8.875,Headache
Acetaminophen / diphenhydramine,9.25,92.5,4,13.5,Insomnia
Acetaminophen / hydrocodone,8.13,81.3,188,28.93617021276596,Pain
Acetaminophen / oxycodone,8.69,86.9,154,27.116883116883116,Pain
Acetaminophen / pamabrom,7.5,75.0,4,14.25,Back Pain
Acetaminophen / phenylephrine,4.0,40.0,1,0.0,Sinus Symptoms
Acetaminophen / phenyltoloxamine,9.8,98.0,5,11.0,Headache
Acetaminophen / propoxyphene,8.33,83.3,18,19.5,Pain
Acetaminophen / tramadol,7.86,78.6,14,32.857142857142854,Pain
Acetazolamide,6.81,68.1,26,15.538461538461538,Pseudotumor Cerebri
Acetic acid / hydrocortisone,8.0,80.0,1,14.0,Otitis Externa
Acetylcysteine,5.5,55.0,2,9.0,Expectoration
Acidophilus,10.0,100.0,3,38.333333333333336,Vaginal Yeast Infection
Aciphex,9.6,96.0,10,25.3,GERD
Acitretin,8.0,80.0,1,0.0,Psoriasis
Aclidinium,8.0,80.0,1,27.0,COPD
Acnex,10.0,100.0,1,5.0,Acne
Acrivastine / pseudoephedrine,10.0,100.0,1,5.0,Allergic Rhinitis
